Method,n_vars,DAG_type,SEM_type,Noise,Runtime_sec,SHD,SID,ATE_RMSE
PC,20,ER,linear,gaussian,0.24721741676330566,11,23,0.3127917808595643
DAGBoost,20,ER,linear,gaussian,2.242241144180298,20,32,0.3195850168986268
PC,20,ER,linear,exponential,0.17494487762451172,14,26,0.37617489126944903
DAGBoost,20,ER,linear,exponential,2.4737162590026855,20,32,0.35479992803039917
PC,20,ER,linear,laplace,0.23232460021972656,10,22,0.31963911887378704
DAGBoost,20,ER,linear,laplace,2.0143630504608154,21,33,0.275965866979179
PC,20,ER,non-linear,gaussian,0.2389516830444336,15,29,0.29246136166635756
DAGBoost,20,ER,non-linear,gaussian,2.03307843208313,19,31,0.2544797870383076
PC,20,ER,non-linear,exponential,0.1816551685333252,16,32,0.3493886607729746
DAGBoost,20,ER,non-linear,exponential,1.4749839305877686,18,30,0.2555145159513345
PC,20,ER,non-linear,laplace,0.2156376838684082,20,42,0.4417130298652914
DAGBoost,20,ER,non-linear,laplace,2.0094058513641357,22,34,0.33755215528547916
PC,20,SF,linear,gaussian,0.2546975612640381,18,25,0.40805145465514686
DAGBoost,20,SF,linear,gaussian,2.0714120864868164,30,35,0.334566970923135
PC,20,SF,linear,exponential,0.3302745819091797,14,19,0.3235505527671237
DAGBoost,20,SF,linear,exponential,1.9618573188781738,30,35,0.3169200159410619
PC,20,SF,linear,laplace,0.30841827392578125,18,23,0.3081918057469425
DAGBoost,20,SF,linear,laplace,2.0069758892059326,32,37,0.31785725144496324
PC,20,SF,non-linear,gaussian,0.2553112506866455,21,27,0.3494277671880772
DAGBoost,20,SF,non-linear,gaussian,2.0445826053619385,30,35,0.29363126311247495
PC,20,SF,non-linear,exponential,0.2431173324584961,16,28,0.3928284507498609
DAGBoost,20,SF,non-linear,exponential,2.0109217166900635,27,32,0.26505331519867936
PC,20,SF,non-linear,laplace,0.9580607414245605,14,21,0.574744431702176
DAGBoost,20,SF,non-linear,laplace,2.0476794242858887,27,32,0.35002073995090044
PC,50,ER,linear,gaussian,1.2403535842895508,28,53,0.23835589767465287
DAGBoost,50,ER,linear,gaussian,5.311395883560181,45,73,0.18526697501404216
PC,50,ER,linear,exponential,1.0356767177581787,40,76,0.1870241152704771
DAGBoost,50,ER,linear,exponential,5.3137335777282715,44,72,0.12781609985374348
PC,50,ER,linear,laplace,1.0323350429534912,34,58,0.18278863491428335
DAGBoost,50,ER,linear,laplace,5.094419479370117,49,77,0.1534710972763187
PC,50,ER,non-linear,gaussian,1.0480222702026367,44,81,0.21436536162084793
DAGBoost,50,ER,non-linear,gaussian,5.104435920715332,43,71,0.14960517742729712
PC,50,ER,non-linear,exponential,1.1976282596588135,63,96,0.2650879369420448
DAGBoost,50,ER,non-linear,exponential,5.269586801528931,43,71,0.21675775768948305
PC,50,ER,non-linear,laplace,1.1527206897735596,63,125,0.2821032720634777
DAGBoost,50,ER,non-linear,laplace,5.476129055023193,45,73,0.2193649104674395
PC,50,SF,linear,gaussian,2.7894463539123535,69,197,0.3127941151212997
DAGBoost,50,SF,linear,gaussian,5.395461797714233,82,206,0.27000084837310195
PC,50,SF,linear,exponential,1.6917362213134766,69,186,0.4372675897038326
DAGBoost,50,SF,linear,exponential,5.304224967956543,80,204,0.44894343046963786
PC,50,SF,linear,laplace,2.0127389430999756,74,197,0.4032035567596063
DAGBoost,50,SF,linear,laplace,5.083858489990234,82,206,0.3808187724301252
PC,50,SF,non-linear,gaussian,2.2636330127716064,86,198,0.3338941808096584
DAGBoost,50,SF,non-linear,gaussian,5.67771577835083,76,200,0.24824588886539412
PC,50,SF,non-linear,exponential,2.787412405014038,77,190,0.5764144918908709
DAGBoost,50,SF,non-linear,exponential,5.466286897659302,75,199,0.5349081963712798
PC,50,SF,non-linear,laplace,2.7638063430786133,62,175,0.4390039014503945
DAGBoost,50,SF,non-linear,laplace,5.135524272918701,75,199,0.3659786396840347
PC,100,ER,linear,gaussian,7.488220930099487,95,221,0.1676145221620494
DAGBoost,100,ER,linear,gaussian,11.453012943267822,95,170,0.11820405048847411
PC,100,ER,linear,exponential,7.476522207260132,103,191,0.16760314901387915
DAGBoost,100,ER,linear,exponential,11.41561484336853,88,163,0.13991917671539436
PC,100,ER,linear,laplace,6.905149936676025,97,218,0.16570902744539162
DAGBoost,100,ER,linear,laplace,12.187602281570435,92,167,0.10890336713175358
PC,100,ER,non-linear,gaussian,7.848978757858276,125,311,0.19728248719916303
DAGBoost,100,ER,non-linear,gaussian,11.633214473724365,85,160,0.11671472480288754
PC,100,ER,non-linear,exponential,8.516228914260864,176,492,0.23983036430631582
DAGBoost,100,ER,non-linear,exponential,11.709185361862183,85,160,0.11206600731862025
PC,100,ER,non-linear,laplace,8.341821193695068,170,572,0.27087994377988844
DAGBoost,100,ER,non-linear,laplace,12.025302171707153,88,163,0.12004688420116606
PC,100,SF,linear,gaussian,9.015989303588867,158,494,0.27632586458732344
DAGBoost,100,SF,linear,gaussian,11.830871343612671,138,415,0.1888651292230341
PC,100,SF,linear,exponential,11.3434419631958,164,541,0.31495095656152333
DAGBoost,100,SF,linear,exponential,11.776458740234375,142,419,0.17718245250873418
PC,100,SF,linear,laplace,8.84862470626831,153,432,0.35969435645424613
DAGBoost,100,SF,linear,laplace,11.688001155853271,148,425,0.3318914163271485
PC,100,SF,non-linear,gaussian,15.11801528930664,189,556,0.25109621904056034
DAGBoost,100,SF,non-linear,gaussian,11.151142835617065,139,416,0.1750878021045208
PC,100,SF,non-linear,exponential,8.890268564224243,227,638,0.31282849045736344
DAGBoost,100,SF,non-linear,exponential,8.490620374679565,136,413,0.23441408853302748
PC,100,SF,non-linear,laplace,10.720507621765137,199,551,0.32202204460800676
DAGBoost,100,SF,non-linear,laplace,11.223589420318604,137,414,0.25653885556259404
