Method,n_vars,DAG_type,SEM_type,Noise,SID
FLAR,20,ER,linear,gaussian,24
CAM,20,ER,linear,gaussian,182
FLAR,20,ER,linear,exponential,24
CAM,20,ER,linear,exponential,201
FLAR,20,ER,linear,laplace,23
CAM,20,ER,linear,laplace,203
FLAR,20,ER,non-linear,gaussian,19
CAM,20,ER,non-linear,gaussian,186
FLAR,20,ER,non-linear,exponential,19
CAM,20,ER,non-linear,exponential,205
FLAR,20,ER,non-linear,laplace,20
CAM,20,ER,non-linear,laplace,187
FLAR,20,SF,linear,gaussian,42
CAM,20,SF,linear,gaussian,169
FLAR,20,SF,linear,exponential,36
CAM,20,SF,linear,exponential,186
FLAR,20,SF,linear,laplace,32
CAM,20,SF,linear,laplace,175
FLAR,20,SF,non-linear,gaussian,21
CAM,20,SF,non-linear,gaussian,167
FLAR,20,SF,non-linear,exponential,19
CAM,20,SF,non-linear,exponential,203
FLAR,20,SF,non-linear,laplace,27
CAM,20,SF,non-linear,laplace,197
FLAR,50,ER,linear,gaussian,121
CAM,50,ER,linear,gaussian,1106
FLAR,50,ER,linear,exponential,133
CAM,50,ER,linear,exponential,1216
FLAR,50,ER,linear,laplace,126
CAM,50,ER,linear,laplace,1240
FLAR,50,ER,non-linear,gaussian,104
CAM,50,ER,non-linear,gaussian,1152
FLAR,50,ER,non-linear,exponential,105
CAM,50,ER,non-linear,exponential,1239
FLAR,50,ER,non-linear,laplace,114
CAM,50,ER,non-linear,laplace,1211
FLAR,50,SF,linear,gaussian,103
CAM,50,SF,linear,gaussian,1131
FLAR,50,SF,linear,exponential,93
CAM,50,SF,linear,exponential,1197
FLAR,50,SF,linear,laplace,120
CAM,50,SF,linear,laplace,1199
FLAR,50,SF,non-linear,gaussian,88
CAM,50,SF,non-linear,gaussian,1124
FLAR,50,SF,non-linear,exponential,83
CAM,50,SF,non-linear,exponential,1215
FLAR,50,SF,non-linear,laplace,91
CAM,50,SF,non-linear,laplace,1184
FLAR,100,ER,linear,gaussian,241
CAM,100,ER,linear,gaussian,4646
FLAR,100,ER,linear,exponential,207
CAM,100,ER,linear,exponential,4662
FLAR,100,ER,linear,laplace,218
CAM,100,ER,linear,laplace,4681
FLAR,100,ER,non-linear,gaussian,210
CAM,100,ER,non-linear,gaussian,4546
FLAR,100,ER,non-linear,exponential,184
CAM,100,ER,non-linear,exponential,4677
FLAR,100,ER,non-linear,laplace,181
CAM,100,ER,non-linear,laplace,4667
FLAR,100,SF,linear,gaussian,516
CAM,100,SF,linear,gaussian,4588
FLAR,100,SF,linear,exponential,421
CAM,100,SF,linear,exponential,4889
FLAR,100,SF,linear,laplace,469
CAM,100,SF,linear,laplace,4761
FLAR,100,SF,non-linear,gaussian,422
CAM,100,SF,non-linear,gaussian,4503
FLAR,100,SF,non-linear,exponential,404
CAM,100,SF,non-linear,exponential,4753
FLAR,100,SF,non-linear,laplace,423
CAM,100,SF,non-linear,laplace,4816
